director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Adam Rifkin, Chevy Chase, Ellar Coltrane, Ellar Coltrane,Drama,the last movie star, Chevy Chase  Ellar Coltrane  Ellar Coltrane Adam Rifkin Drama
John Krasinski, Noah Jupe, Millicent Simmonds, Millicent Simmonds,Horror Drama Science Fiction,a quiet place, Noah Jupe  Millicent Simmonds  Millicent Simmonds John Krasinski Horror Drama Science Fiction
Kay Cannon, John Cena, Ike Barinholtz, Ike Barinholtz,Comedy,blockers, John Cena  Ike Barinholtz  Ike Barinholtz Kay Cannon Comedy
Lynne Ramsay, Alessandro Nivola, Dante Pereira-Olson, Dante Pereira-Olson,Crime Drama Thriller,you were never really here, Alessandro Nivola  Dante Pereira-Olson  Dante Pereira-Olson Lynne Ramsay Crime Drama Thriller
John Curran, Bruce Dern, Olivia Thirlby, Olivia Thirlby,History Drama Thriller,chappaquiddick, Bruce Dern  Olivia Thirlby  Olivia Thirlby John Curran History Drama Thriller
Sean McNamara, Danika Yarosh, William Hurt, William Hurt,Drama,the miracle season, Danika Yarosh  William Hurt  William Hurt Sean McNamara Drama
Brad Anderson, Shea Whigham, Larry Pine, Larry Pine,Action Thriller Drama,beirut, Shea Whigham  Larry Pine  Larry Pine Brad Anderson Action Thriller Drama
Brad Peyton, Jeffrey Dean Morgan, Jake Lacy, Jake Lacy,Action Adventure Science Fiction,rampage, Jeffrey Dean Morgan  Jake Lacy  Jake Lacy Brad Peyton Action Adventure Science Fiction
Jeff Wadlow, Landon Liboiron, Hayden Szeto, Hayden Szeto,Thriller Horror,truth or dare, Landon Liboiron  Hayden Szeto  Hayden Szeto Jeff Wadlow Thriller Horror
Chloé Zhao, Cat Clifford, Lane Scott, Lane Scott,Drama Western,the rider, Cat Clifford  Lane Scott  Lane Scott Chloé Zhao Drama Western
Richard Lanni, Gérard Depardieu, Helena Bonham Carter, Helena Bonham Carter,Animation Adventure Family History War,sgt. stubby: an american hero, Gérard Depardieu  Helena Bonham Carter  Helena Bonham Carter Richard Lanni Animation Adventure Family History War
"Abby Kohn, Marc Silverstein", Lauren Hutton, Naomi Campbell, Naomi Campbell,Comedy Romance,i feel pretty," Lauren Hutton  Naomi Campbell  Naomi Campbell Abby Kohn, Marc Silverstein Comedy Romance"
Jay Chandrasekhar, Brian Cox, Rob Lowe, Rob Lowe,Comedy Crime Mystery,super troopers 2, Brian Cox  Rob Lowe  Rob Lowe Jay Chandrasekhar Comedy Crime Mystery
Deon Taylor, William Fichtner, Missi Pyle, Missi Pyle,Horror Thriller,traffik, William Fichtner  Missi Pyle  Missi Pyle Deon Taylor Horror Thriller
Peter Livolsi, Michaela Watkins, Maude Apatow, Maude Apatow,Drama Comedy,the house of tomorrow, Michaela Watkins  Maude Apatow  Maude Apatow Peter Livolsi Drama Comedy
Russo brothers, Chris Pratt, Josh Brolin, Josh Brolin,Adventure Action Science Fiction,avengers: infinity war, Chris Pratt  Josh Brolin  Josh Brolin Russo brothers Adventure Action Science Fiction
Sebastián Lelio, Alessandro Nivola, Rachel McAdams, Rachel McAdams,Drama Romance,disobedience, Alessandro Nivola  Rachel McAdams  Rachel McAdams Sebastián Lelio Drama Romance
Per Fly, Jacqueline Bisset, Belçim Bilgin, Belçim Bilgin,Thriller Drama History,backstabbing for beginners, Jacqueline Bisset  Belçim Bilgin  Belçim Bilgin Per Fly Thriller Drama History
Deniz Gamze Ergüven, Daniel Craig,Deniz Gamze Ergüven (director/screenplay); Halle Berry,Deniz Gamze Ergüven (director/screenplay); Halle Berry,Romance Drama Crime,kings, Daniel Craig Deniz Gamze Ergüven (director/screenplay); Halle Berry Deniz Gamze Ergüven (director/screenplay); Halle Berry Deniz Gamze Ergüven Romance Drama Crime
Rob Greenberg, John Hannah, Fernando Luján, Fernando Luján,Comedy Romance,overboard, John Hannah  Fernando Luján  Fernando Luján Rob Greenberg Comedy Romance
Jason Reitman, Mark Duplass, Ron Livingston, Ron Livingston,Comedy Drama,tully, Mark Duplass  Ron Livingston  Ron Livingston Jason Reitman Comedy Drama
Dean Devlin, Jacqueline Byers, Kerry Condon, Kerry Condon,Thriller Crime Horror,bad samaritan, Jacqueline Byers  Kerry Condon  Kerry Condon Dean Devlin Thriller Crime Horror
Bobby Miller, Diana Bang, Kevin J. O'Connor, Kevin J. O'Connor,Drama Comedy Fantasy Horror,the cleanse, Diana Bang  Kevin J. O'Connor  Kevin J. O'Connor Bobby Miller Drama Comedy Fantasy Horror
