director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
dennie gordon,colin firth,oliver james,kelly preston,comedy drama family romance,what a girl wants ,colin firth oliver james kelly preston dennie gordon comedy drama family romance
victor salva,nicki aycox,jonathan breck,billy aaron brown,horror,jeepers creepers ii ,nicki aycox jonathan breck billy aaron brown victor salva horror
mark helfrich,dane cook,dan fogler,chelan simmons,comedy romance,good luck chuck ,dane cook dan fogler chelan simmons mark helfrich comedy romance
andrzej bartkowiak,jet li,tom arnold,dmx,action crime drama thriller,cradle 2 the grave ,jet li tom arnold dmx andrzej bartkowiak action crime drama thriller
stephen daldry,meryl streep,stephen dillane,miranda richardson,drama romance,the hours ,meryl streep stephen dillane miranda richardson stephen daldry drama romance
andy fickman,channing tatum,alexandra breckenridge,laura ramsey,comedy romance,she's the man ,channing tatum alexandra breckenridge laura ramsey andy fickman comedy romance
steve bendelack,lily atkinson,emma de caunes,steve pemberton,comedy family,mr. bean's holiday ,lily atkinson emma de caunes steve pemberton steve bendelack comedy family
dwight h. little,nicholas gonzalez,salli richardson-whitfield,johnny messner,action adventure horror thriller,anacondas: the hunt for the blood orchid ,nicholas gonzalez salli richardson-whitfield johnny messner dwight h. little action adventure horror thriller
guillaume canet,mila kunis,lili taylor,billy crudup,crime drama thriller,blood ties ,mila kunis lili taylor billy crudup guillaume canet crime drama thriller
kirsten sheridan,robin williams,aaron staton,marian seldes,drama music,august rush ,robin williams aaron staton marian seldes kirsten sheridan drama music
shekhar kapur,fanny ardant,john gielgud,eric cantona,biography drama history,elizabeth ,fanny ardant john gielgud eric cantona shekhar kapur biography drama history
ronny yu,alexis arquette,park bench,vince corazza,comedy fantasy horror romance,bride of chucky ,alexis arquette park bench vince corazza ronny yu comedy fantasy horror romance
richard fleischer,joseph cotten,richard anderson,james whitmore,action drama history war,tora! tora! tora! ,joseph cotten richard anderson james whitmore richard fleischer action drama history war
bob spiers,jason flemyng,richard briers,victoria beckham,comedy family music,spice world ,jason flemyng richard briers victoria beckham bob spiers comedy family music
david gordon green,ari graynor,j.b. smoove,kylie bunbury,comedy,the sitter ,ari graynor j.b. smoove kylie bunbury david gordon green comedy
damien dante wayans,damon wayans jr.,essence atkins,chris elliott,action comedy music,dance flick ,damon wayans jr. essence atkins chris elliott damien dante wayans action comedy music
frank darabont,morgan freeman,jeffrey demunn,bob gunton,crime drama,the shawshank redemption ,morgan freeman jeffrey demunn bob gunton frank darabont crime drama
simon wincer,jere burns,paul hogan,linda kozlowski,adventure comedy crime,crocodile dundee in los angeles ,jere burns paul hogan linda kozlowski simon wincer adventure comedy crime
bobby farrelly,bill murray,lin shaye,richard tyson,comedy sport,kingpin ,bill murray lin shaye richard tyson bobby farrelly comedy sport
